Company Name,Employees,HQ Location,Ownership Status,Description,Verticals,Primary Industry Sector,Primary Industry Group,Last Financing Date,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Size,Last Financing Valuation,Total Raised,# Active Investors,Active Investors,Website
Aurora (Automotive),200,"Palo Alto, CA",Privately Held (backing),"Developer of an autonomous car technology designed to create self driving cars. The company's technology uses advanced machine learning software and hardware to power self driving cars by leveraging a combination of camera, radar and LiDAR, enabling clients to make roads safer and improve access to mobility.","Artificial Intelligence & Machine Learning, Autonomous cars, Industrials, TMT",Consumer Products and Services (B2C),Transportation,7-Feb-19,Early Stage VC,Series B,530,"2,500.00",626.11,10,"Amazon.com, Geodesic, Geodesic Capital, Greylock Partners, Index Ventures (UK), Lightspeed Venture Partners, Reinvent Capital, Sequoia Capital, Shell Ventures, T. Rowe Price",www.aurora.tech
WeRide (China),200,"Sunnyvale, CA",Privately Held (backing),"Developer of fully autonomous vehicles designed to deliver a safe, robust and convenient MaaS (Mobility as a Service) to the public. The company's vehicles use deep learning to deliver full automation that operates without human intervention by using a combination of LiDAR, cameras and radar sensors along with artificial intelligence to perceive the driving environment, enabling users to navigate the quickest and safest path to the final destination.","Artificial Intelligence & Machine Learning, Autonomous cars, Industrials, TMT",Consumer Products and Services (B2C),Transportation,1-Nov-18,Early Stage VC,Series A,150,,207,15,"Alliance Ventures, Atop Capital, China Growth Capital, Hanfor Capital, Hongtai Capital Holdings, Idinvest Partners, Innoangel Fund, Johnson Electric Holdings, Nautilus Venture Partners, NVIDIA GPU Ventures, OceanIQ Capital, Qiming Venture Partners, Tsingyuan Ventures, Wisemont Capital, XiaoPeng He",www.weride.ai
Devoted Health,200,"Waltham, MA",Privately Held (backing),"Operator of a healthcare company intended to improve the quality of patient's care by offering personalized medical plans. The company's healthcare services feature personal guides, contracts, and HMO and Medicare Advantage plans that help to work closely with physicians to avoid unneeded medical procedures, providing Medicare beneficiaries with access care through a network of doctors and tech-enabled healthcare platform.","HealthTech, InsurTech, LOHAS & Wellness",Healthcare,Healthcare Services,16-Oct-18,Early Stage VC,Series B,300,"1,800.00",369.4,13,"Andreessen Horowitz, Dreamers VC, Eight Roads, F-Prime Capital Partners, Frist Cressey Ventures, Maverick Ventures, NextView Ventures, Oak HC/FT, Obvious Ventures, O'Reilly AlphaTech Ventures, Premji Invest, Uprising, Venrock",www.devoted.com
Divvy,200,"Lehi, UT",Privately Held (backing),"Developer of a secure expense management platform designed to automate the entire expense report process. The company's cloud-based platform automatically tracks business transaction in real-time to offer instant insights and tools to curb losses before they happen, enabling businesses to streamline the entire financial cycle, from funding to reconciling.","FinTech, SaaS, TMT",Information Technology,Software,30-Apr-19,Later Stage VC,Series C,200,800,502.5,7,"Aaron Skonnard, Insight Partners, Jeremy Andrus, Joshua James, New Enterprise Associates, Peak Ventures, Pelion Venture Partners",www.getdivvy.com
Cityblock Health,180,"New York, NY",Privately Held (backing),"Operator of a personalized health system intended to address the unmet health and social needs of Medicaid and Medicare populations. The company's personalized health system offers a novel, community-delivered model of integrated primary care, behavioural health and social services also partners with community-based organizations, enabling clinicians to provide personalized care for every member.","HealthTech, TMT",Healthcare,Healthcare Services,11-Apr-19,Early Stage VC,Series B,65,89.5,88.2,12,"8VC, Echo Health Ventures, EmblemHealth, Mario Molina, Maverick Ventures, Oxeon Partners, Redpoint Ventures, Sidewalk Labs, StartUp Health, Thrive Capital, Town Hall Ventures, Trail Mix Ventures",cityblock.com
Spiffy,150,"Durham, NC",Privately Held (backing),"Developer of a mobile application created to redefine on-demand car care experience everywhere. The company's mobile application enables users to conveniently book for on-demand car cleaning services, enabling customers to schedule, track and pay for car washing and detailing services by using environmentally-friendly system at the time and location of their choosing.","Mobile, TMT",Information Technology,Software,1-Jun-18,Early Stage VC,Series A,9.5,23.04,17.04,12,"Blackstone Entrepreneurs Network, Bull City Venture Partners, Hatteras Venture Partners, IDEA Fund Partners, Industry Ventures, Launch Chapel Hill, Mann+Hummel, Service Provider Capital, Task Force X Capital, VentureSouth, Visionary Private Equity Group, Wolfpack Investor Network",www.getspiffy.com
Spotinst,150,"San Francisco, CA",Privately Held (backing),"Provider of a cloud-based infrastructure-as-a-service platform designed for running and managing elastic compute cloud. The company's cloud-based platform leverages predictive algorithms automates management and purchase policies for cloud services, enabling enterprises and startups to manage data center, optimize cloud computing and deliver an outstanding customer experience.","SaaS, TMT",Information Technology,Software,28-Aug-18,Early Stage VC,Series B,35,,52.6,8,"Highland Europe, Intel Capital, Leaders Fund, Microsoft ScaleUp, NAV.VC, Pico Partners, Springtide Ventures, Vertex Ventures Israel",www.spotinst.com
Vector Launch,150,"Tucson, AZ",Privately Held (backing),"Developer of micro satellites designed to connect space startups and innovators with affordable and reliable space access. The company's micro satellites are low-cost and be can used for frequent launches to lower the barrier of entry to innovation and commerce in outer space, enabling startups to focus on their innovations and reduce launch costs.","Space Technology, TMT",Business Products and Services (B2B),Commercial Products,19-Oct-18,Early Stage VC,Series B,70,185,94,25,"Alumni Ventures Group, Arizona Tech Investors, BoomStartup, Conconi Growth Partners, daVinci Capital Group, Defense Advanced Research Projects Agency, Desert Angels, DNX Ventures, Hemisphere Ventures, Kanematsu, Kodem Growth Partners, Lightspeed Venture Partners, Make In LA, Marc Bell Capital Partners, Matthew Conover, Matthew Keezer, Morgan Stanley, NASA Ames Research Center, Nick Karangelan, Osage University Partners, Purple Arch Ventures, Sequoia Capital, Shasta Ventures, Shaun Coleman, Space Angels",www.vector-launch.com
Atrium (Online Legal Platform),150,"San Francisco, CA",Privately Held (backing),"Provider of an online legal platform designed to offer legal services for fast growing companies. The company leverages machine learning software to understand legal documents and automates repeatable processes, while providing general legal counsel in addition to counsel on financing, contracts and blockchain, providing companies with faster, more transparent legal guidance and upfront pricing.","Artificial Intelligence & Machine Learning, Big Data, SaaS",Information Technology,Software,10-Sep-18,Early Stage VC,Series B,64.47,204.47,75.09,37,"500 Startups, Alrai Capital, Andreessen Horowitz, Arena Ventures, Balance Ventures, Beenext (Singapore), Binary Capital, BoxGroup, Brainchild (Management Consulting), Caffeinated Capital, Early Impact Ventures, First Round Capital, Founders Fund, General Catalyst, GGV Capital, Great Oaks Venture Capital, Greenoaks Capital Partners, Greylock Capital Management, Initialized Capital Management, Jackson Square Ventures, Kindred Ventures, Liquid 2 Ventures, New Enterprise Associates, Oriza Ventures, Palapa Ventures, Palm Drive Capital, Shasta Ventures, Signia Venture Partners, Slow Ventures, Soma Capital, Sound Ventures, Struck Capital, SV Angel, Tekton Ventures, Thrive Capital, UpHonest Capital, Y Combinator",www.atrium.co
Suuchi,150,"North Bergen, NJ",Privately Held (backing),"Developer of a technology intended to design, manufacture and ship clothing. The company offers transparency and end-to-end solution from design to sourcing to shipping at brands fingertips and allows to communicate with the team to ensure no more lost emails and unnecessary delays in your product development or production, enabling brands to have high-quality clothing and cost-effectiveness and transparency through the entire production process.",,Business Products and Services (B2B),Commercial Services,25-Apr-19,Early Stage VC,Series A,8,40,8,1,Edison Partners,www.suuchi.com
ScaleFactor,140,"Austin, TX",Privately Held (backing),"Developer of a SaaS-based finance and accounting software designed to streamline business accounting and financial operations. The company's software uses machine learning to process and categorizes financial transactions in real-time, automates complex bookkeeping tasks, translates financial information into usable business insights, enabling business owners, managers and entrepreneurs to control their operations and strategically grow their business.","Artificial Intelligence & Machine Learning, Big Data, FinTech, SaaS, TMT",Information Technology,Software,17-Jan-19,Later Stage VC,Series B,30,120,45.89,12,"Bessemer Venture Partners, Broadhaven Capital Partners, Canaan Partners, Capital Factory, Citi Ventures, Edison Factory, Firebrand Ventures, Flyover Capital, Matchstick Ventures, Next Coast Ventures, Right Side Capital Management, Techstars",www.scalefactor.com
Hypergiant,140,"Austin, TX",Privately Held (backing),"Developer of artificial intelligence technologies designed to help large companies to develop a strategy to meet their business goals. The company's technologies interacts with both a smartphone application and its loyalty accounts that help in creating recommendations based on customer's choices, enabling clients to take smart and efficient business decisions that helps them to achieve their goal profitably.","Artificial Intelligence & Machine Learning, Mobile, TMT",Information Technology,Software,30-Nov-18,Early Stage VC,Series A,5,,5,8,"Align Capital, Barshop Ventures, Beringer Capital, Capital Factory, Green Park & Golf Ventures, MassChallenge, Mythic Ventures, Tony Robbins",www.hypergiant.com
STRIVR,130,"Menlo Park, CA",Privately Held (backing),"Provider of an online virtual reality training platform designed to train individuals and improve performance. The company's virtual reality training platform applies VR/AR technology to train and evaluate employees and produces never-before-seen data and insights that are actionable. The company's platform combines real-world experience and technology to make practice more effective, enabling employees to have higher retention, quicker ramp times, fewer workplace accidents, reduced costs and increased productivity.","Augmented Reality, TMT, Virtual Reality, Wearables & Quantified Self",Consumer Products and Services (B2C),Services (Non-Financial),2-Oct-18,Early Stage VC,Series A,16,66,21,12,"32 Equity, Advancit Capital, BMW i Ventures, David Shaw, GreatPoint Ventures, Green D Ventures, National Football League, Presence Capital, Purple Arch Ventures, Signia Venture Partners, Spike Ventures, The Yard Ventures",www.strivr.com
HealthJoy,125,"Chicago, IL",Privately Held (backing),"Developer of a healthcare assistance platform intended to simplify the healthcare experience and reduce complexity. The company's platform uses AI-driven virtual assistant to guide users to the correct and cost-effective care options as well as provides access to suitable doctors, healthcare concierges, insurance experts and healthcare comparison shoppers, enabling users to make better healthcare decisions by managing claims, health savings accounts and prescriptions.","Artificial Intelligence & Machine Learning, Digital Health, InsurTech, TMT",Healthcare,Healthcare Technology Systems,8-Mar-19,Early Stage VC,Series B,12.5,40,26,11,"Andrew Sieja, Ben Evans, Brad Hoover, Chicago Ventures, EPIC Ventures, GoHealth, Jason Theofilis, Nueterra Capital, Sidekick Fund, Social Capital, US Venture Partners",www.healthjoy.com
New Engen,125,"Seattle, WA",Privately Held (backing),"Provider of cross-platform digital marketing services designed to scale new customer growth. The company's cross-platform digital marketing services include optimization and scale marketing of campaigns on a broad scale, enabling enterprises to target the right customers.","Industrials, Marketing Tech, TMT",Information Technology,Software,31-May-17,Early Stage VC,Series A,8.06,50.06,10.59,2,"August Capital, Trinity Ventures",www.newengen.com
Viome,125,"Bellevue, WA",Privately Held (backing),"Provider of wellness as a service intended to help people track their microbiome health. The company's service uses artificial intelligence and adapts its recommendations to consumer's changing ecosystem by examining it regularly, so they are always aware and taking action towards maximizing their vitality and lifespan, enabling consumers to comprehensively assess their internal eco-system with simple personalized recommendations.","Artificial Intelligence & Machine Learning, Digital Health, Life Sciences, TMT",Healthcare,Healthcare Services,17-Apr-19,Early Stage VC,Series B,25,,60.6,9,"BlueTech, Bold Capital Partners, CerraCap Ventures, Khosla Ventures, Marc Benioff, Matthew Harris, Peter Diamandis, Physician Partners, WR Hambrecht + Co.",www.viome.com
Filevine,120,"Provo, UT",Privately Held (backing),"Developer of cloud-based legal case management software designed seamlessly combines lawyer collaboration, client communication and legal operational analytics into an all-in-one platform. The company's platform offers project management tools to help legal professionals and their case management duties, enabling law firms to collaborate on case files with their team and communicate with clients via texting, helping them to settle and run more cases with fewer staff.","SaaS, TMT",Business Products and Services (B2B),Commercial Services,29-Jan-19,Early Stage VC,Series A,6.9,46.9,11.68,3,"Jonathan Ord, Peak Ventures, Signal Peak Ventures",www.filevine.com
JASK,120,"San Francisco, CA",Privately Held (backing),"Developer of a cyber-security analytics software designed to modernizing security operations. The company's software utilizes an Autonomous Security Operations Center (ASOC) platform that automates the correlation and analysis of threat alerts, enabling users to reduce organizational risk and improve human efficiency.","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity, TMT",Information Technology,Software,28-Jun-18,Early Stage VC,Series B,25,100,39.25,10,"Battery Ventures, Dell Technologies Capital, DNX Ventures, Kleiner Perkins, Lavrock Ventures, NightDragon Security, Secure Octane, Stuart McClure, Ten Eleven Ventures, Vertical Venture Partners",www.jask.com
Gong.io,120,"San Francisco, CA",Privately Held (backing),"Provider of a sales conversation intelligence platform created to improve calls and demos for sales teams. The company's sales platform is cloud-based and utilizes artificial intelligence to automatically records, transcribes and analyzes every sales conversation, transcribe and analyze calls, enabling organizations to save time, increase win rates, improve strategic decision-making and increase revenue.","Artificial Intelligence & Machine Learning, Big Data, SaaS, TMT",Information Technology,Software,17-Jan-19,Early Stage VC,Series B,40,,68,8,"Battery Ventures, Cisco Investments, Dharmesh Thakker, Next World Capital, Norwest Venture Partners, Shlomo Kramer, Technolera, Wing Venture Capital",www.gong.io
Inspectorio,120,"Minneapolis, MN",Privately Held (backing),"Provider of a a quality and compliance platform. The company's AI powered platform leverages machine learning to create autonomous systems for quality and compliance monitoring where factories, vendors, brands, and retailers can connect, share data, and drive continuous improvement and offers real-time data sharing, predictive-recommended actions, task optimization, risk assessments, enabling quality and compliance personnel to focus on high value-added tasks as remediation and continuous improvement.","Artificial Intelligence & Machine Learning, Big Data, Mobile, TMT",Information Technology,Software,10-Jul-18,Early Stage VC,Series A,10,60,13.82,6,"Ecolab, Matchstick Ventures, Target, Target + METRO Retail Accelerator, Target Accelerator Program India, Techstars",www.inspectorio.com
Hubble Contacts,120,"New York, NY",Privately Held (backing),"Provider of contact lens designed to provide all-day comfort and sharp vision. The company's contact lenses are made from high-grade methafilcon hydrogel material, with 55% water content, UV protection, a thin edge and FDA-approved contact lenses, enabling users with all-day comfort and crystal clear vision.","E-Commerce, TMT",Consumer Products and Services (B2C),Consumer Non-Durables,2-Jul-18,Corporate,Corporate,,,33.7,9,"Colgate-Palmolive, David Bonderman, Eric Stromberg, FirstMark Capital, Founders Fund, Greycroft, Oscar Salazar, Two River Group, Wildcat Capital Management",www.hubblecontacts.com
Lyric Hospitality,110,"San Francisco, CA",Privately Held (backing),"Operator of a real estate and hospitality platform designed for the modern business traveler. The company's online pricing platform finds events and determines how to price them, analyzes home performance in comparison to nearby similar listings as well as visualizes how neighbors are booking on any given day, enabling individuals to create a pricing strategy that suits their needs, homes and guests.","AdTech, Marketing Tech, Mobile, Real Estate Technology, SaaS, TMT",Consumer Products and Services (B2C),Services (Non-Financial),17-Apr-19,Early Stage VC,Series B,160,240,180.37,17,"Adam Bain, Airbnb, AXA Venture Partners, Barry Sternlicht, Fifth Wall Ventures, New Enterprise Associates, NFX, Obvious Ventures, PolyTech Ventures, Rainfall Ventures, Richard Costolo, RXR Realty, SignalFire, SineWave Ventures, Tishman Speyer Venture Capital, Tusk Ventures, Zelkova Ventures",www.lyric.com
Sendoso,110,"San Francisco, CA",Privately Held (backing),"Provider of an online gifting platform intended to send rewards and e-gifts for customer engagement and business development. The company's platform centralizes all gifting outreach touches and automates delivery of gifts to customers and employees on a timely basis, enabling businesses to send eGifts for coffee, lunch tickets, handwritten notes, experiences, sales kits and custom gifts and help promote customer loyalty and grow brands.","SaaS, TMT",Information Technology,Software,6-Dec-18,Early Stage VC,Series A,10.7,47.4,13.85,6,"500 Startups, Craft Ventures, Hack VC, Signia Venture Partners, Storm Ventures, Struck Capital",www.sendoso.com
Fractal Industries,105,"Reston, VA",Privately Held (backing),"Developer of a artificial intelligence platform designed to solve complex, real-world problems at scale. The company's human-artificial intelligence operating system, Fractal | OS™, blends capabilities ranging from data handling, analytics, and reporting to advanced algorithms, simulations, and machine learning, enabling decisions that are just-in-time, just-in-place, and just-in-context.","Artificial Intelligence & Machine Learning, Big Data, Cybersecurity, SaaS, TMT",Information Technology,Software,20-Feb-19,Early Stage VC,Series A,37.36,,37.36,2,"Arab Angel, Exponential Partners",www.fractalindustries.com
Arundo Analytics,104,"Houston, TX",Privately Held (backing),"Provider of a cloud-based and edge-enabled software for the deployment and management of enterprise-scale industrial data science solutions. The company's software suite Arundo Enterprise connects live data to machine learning models and model outputs to business decisions, enabling companies in heavy industries to quickly integrate machine learning into operations in areas such as critical equipment reliability and improved asset performance.","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Big Data, Internet of Things, Oil & Gas, SaaS, TMT",Information Technology,Software,18-Apr-18,Early Stage VC,Series A,28,123,35.6,12,"Alliance Venture, Brillio (Santa Clara), Canica, Horizon Ventures, Nordic Innovation House, Northgate Capital, Plug and Play Tech Center, StartX, Stokke Industri, Strømstangen, Sundt, TRK Group",www.arundo.com
Electric AI,101,"New York, NY",Privately Held (backing),"Provider of an automated and intelligent IT assistant channel intended to help businesses run critical cloud applications and devices. The company's channel provides an automated software that offers IT assistance across organizations directly through a real-time chat interface, as well as offers services like additional system monitoring, management and insights, enabling small and medium-sized corporate businesses to run enterprise applications smoothly.","Artificial Intelligence & Machine Learning, SaaS, TMT",Information Technology,Software,23-Jan-19,Early Stage VC,Series B,25,125,37.25,10,"Anchor Worldwide, Bessemer Venture Partners, Bowery Capital, Charge Ventures, Dolik Ventures, GGV Capital, Gunderson Dettmer, Primary Venture Partners, Silicon Badia, Supernode Ventures",www.electric.ai
Molekule,100,"San Francisco, CA",Privately Held (backing),"Developer of a molecular air purification device designed to provide fresh clean air anytime. The company's device uitlizes Photo Electrochemical Oxidation (PECO) nanotechnology and machine learning to combat and destroy allergens, mold, bacteria, viruses and airborne chemicals on a molecular level, enabling users to get clean breathable air at home easily.","Artificial Intelligence & Machine Learning, Big Data, CleanTech, LOHAS & Wellness, Nanotechnology, TMT",Consumer Products and Services (B2C),Consumer Durables,21-Feb-19,Later Stage VC,Series C,23,230,61.4,15,"Crosslink Capital, CSC UpShot Ventures, Foundry Group, Foxconn International Holdings, Hack VC, Healthbox, Hemisphere Ventures, Highway1, Hone Capital, Igniting Innovation, RPS Ventures, TransLink Capital, U.S. Environmental Protection Agency, Uncork Capital, United States Department of Defense",www.molekule.com
UrbanStems,100,"Washington, DC",Privately Held (backing),"Provider of an on-demand flower delivery platform intended to make it easy, affordable and fun to make someone's day with stunning bouquets and gifts. The company's platform offers hand-crafted bouquets which are delivered within minutes to desired locations, enabling people to send across flowers.","AgTech, E-Commerce, TMT",Consumer Products and Services (B2C),Retail,1-Jun-18,Early Stage VC,,5.8,30,20.68,17,"Gabriel Investments, Goldin Ventures, Great Oaks Venture Capital, Grotech Ventures, GSW, Haas Portman, Hammerstone Capital, Idris Mokhtarzada, Interplay Ventures, MCVC Partners, Middleland Capital, Motley Fool Ventures, NextGen Venture Partners, Private Access Network, Sagamore Ventures, SWaN & Legend Venture Partners, University Growth Fund",www.urbanstems.com
